Name,Freq(MHz),PW(µs),Azimuth(º),Elevation(º),Power(dBm)
S1,1376.33,226.96,108,0.0,-12
S1,1376.32,241.12,108,0.0,-12
S1,1425.56,8.47,108,0.0,-12
S1,1376.105,234.97,108,0.0,-12
S1,1425.825,18.22,108,0.0,-12
S1,1425.765,8.77,108,0.0,-127
S1,1376.305,238.87,108,0.0,-12
S1,1376.305,238.87,110,0.0,-12
S1,1426.145,238.87,110,0.0,-31
S1,1425.785,225.85,110,0.0,-11
S1,1376.1,2.41,29,0.0,-16
S1,1425.845,2.41,29,0.0,-16
S1,1425.845,2.41,29,0.0,-16
S1,1425.785,225.85,110,0.0,-11
S1,1425.785,225.85,107,0.0,-11
S1,1376.295,238.15,107,0.0,-11
S1,1376.215,226.18,107,0.0,-11
S1,1376.315,239.2,107,0.0,-11
S1,1425.91,17.71,29,0.0,-16
S1,1376.315,239.2,109,0.0,-11
S1,1376.02,226.21,109,0.0,-10
S1,1426.215,226.21,109,0.0,-10
S1,1376.215,17.71,29,0.0,-16
S1,1376.245,236.29,109,0.0,-10
S1,1376.295,259.42,109,0.0,-10
S1,1426.08,225.82,109,0.0,-10
S1,1376.315,245.32,109,0.0,-10
S1,1376.36,226.09,109,0.0,-10
S1,1376.36,226.09,111,0.0,-10
S1,1376.01,226.09,111,0.0,-10
S1,1376.215,17.71,29,0.0,-54
S1,1376.215,17.71,29,0.0,-54
S1,1376.195,235.78,111,0.0,-33
S1,1376.195,235.78,108,0.0,-33
S1,1426.1,227.32,108,0.0,-33
S1,1376.175,230.59,29,0.0,-38
S1,1426.03,5.77,108,0.0,-33
S1,1426.04,226.03,108,0.0,-12
S1,1376.125,226.03,108,0.0,-12
S1,1376.01,226.03,108,0.0,-12
S1,1376.01,226.03,105,0.0,-12
S1,1376.08,226.03,105,0.0,-12
S1,1376.105,226.03,105,0.0,-12
S1,1376.175,230.59,29,0.0,-38
S1,1376.175,230.59,29,0.0,-38
S1,1376.175,230.59,29,0.0,-68
S1,1376.175,230.59,29,0.0,-68
S1,1376.105,226.03,107,0.0,-12
S1,1425.825,255.43,86,0.0,-32
S1,1376.155,226.18,86,0.0,-11
S1,1376.155,226.18,86,0.0,-11
S1,1376.175,230.59,29,0.0,-68
S1,1376.275,261.67,86,0.0,-11
S1,1376.275,261.67,88,0.0,-11
S1,1376.275,261.67,90,0.0,-11
S1,1376.175,230.59,29,0.0,-46
S1,1376.175,230.59,29,0.0,-46
S1,1426.1,229.9,90,0.0,-11
S1,1375.92,8.17,90,0.0,-11
S1,1376.36,258.28,90,0.0,-11
S1,1426.255,225.88,90,0.0,-11
S1,1426.255,225.88,92,0.0,-11
S1,1426.255,225.88,94,0.0,-11
S1,1376.125,225.88,94,0.0,-11
S1,1376.125,225.88,96,0.0,-11
S1,1425.98,225.88,96,0.0,-11
S1,1376.145,225.88,96,0.0,-11
S1,1376.145,225.88,103,0.0,-11
S1,1376.315,237.67,103,0.0,-11
S1,1375.69,237.67,103,0.0,-11
S1,1375.69,237.67,105,0.0,-11
S1,1376.175,230.59,42,0.0,-46
S1,1425.775,5.83,105,0.0,-31
S1,1425.775,5.83,107,0.0,-31
S1,1376.105,236.38,107,0.0,-31
S1,1425.705,5.35,107,0.0,-31
S1,1426.125,232.33,107,0.0,-31
S1,1376.0,232.33,107,0.0,-31
S1,1376.145,232.33,107,0.0,-31
S1,1376.1,232.33,107,0.0,-11
S1,1425.95,15.1,109,0.0,-11
S1,1425.745,5.8,109,0.0,-11
S1,1426.145,236.29,109,0.0,-11
S1,1376.215,236.29,109,0.0,-11
S1,1425.695,9.85,109,0.0,-11
S1,1376.33,229.3,109,0.0,-11
S1,1376.1,229.3,109,0.0,-10
S1,1376.555,229.3,109,0.0,-10
S1,1376.555,229.3,111,0.0,-10
S1,1376.315,229.3,111,0.0,-10
S1,1376.295,243.97,111,0.0,-10
S1,1376.145,110.26,111,0.0,-10
S1,1376.175,233.68,111,0.0,-10
S1,1375.765,7.87,111,0.0,-10
S1,1376.215,226.21,111,0.0,-10
S1,1426.1,226.21,111,0.0,-10
S1,1426.1,226.21,108,0.0,-10
S1,1376.215,226.21,108,0.0,-10
S1,1426.555,263.2,268,0.0,-51
S1,1376.265,226.21,108,0.0,-11
S1,1376.265,226.21,110,0.0,-11
S1,1376.34,242.59,110,0.0,-11
S1,1425.725,9.1,110,0.0,-11
S1,1426.125,228.97,110,0.0,-11
S1,1376.215,228.97,110,0.0,-10
S1,1376.175,248.71,110,0.0,-10
S1,1426.555,263.2,268,0.0,-51
S1,1376.175,248.71,107,0.0,-10
S1,1376.04,226.18,107,0.0,-10
S1,1376.195,238.72,107,0.0,-10
S1,1376.195,238.72,109,0.0,-10
S1,1426.555,263.2,268,-2.37,-50
S1,1426.555,263.2,268,-2.37,-50
S1,1426.36,238.72,109,0.0,-10
S1,1376.105,228.58,109,0.0,-10
S1,1425.94,228.58,109,0.0,-10
S1,1425.94,228.58,106,0.0,-10
S1,1376.145,236.71,106,0.0,-10
S1,1376.04,226.21,106,0.0,-10
S1,1376.105,239.02,106,0.0,-11
S1,1426.555,263.2,270,-2.37,-50
S1,1376.105,239.02,108,0.0,-11
S1,1376.315,239.02,108,0.0,-11
S1,1426.305,239.02,108,0.0,-11
S1,1376.1,239.02,108,0.0,-11
S1,1426.555,263.2,270,-1.22,-50
S1,1426.555,263.2,272,-1.22,-50
S1,1376.08,251.2,108,0.0,-11
S1,1376.08,251.2,105,0.0,-11
S1,1426.555,2.53,272,-1.22,-70
S1,1426.555,2.53,272,-1.22,-70
S1,1376.02,226.21,105,0.0,-10
S1,1376.02,226.21,107,0.0,-10
S1,1426.555,2.53,274,-1.22,-66
S1,1425.97,2.53,274,-1.22,-62
S1,1425.97,2.53,274,-1.22,-62
S1,1376.02,226.21,109,0.0,-10
S1,1425.775,5.02,109,0.0,-10
S1,1425.97,2.53,271,-1.22,-62
S1,1425.92,226.09,109,0.0,-10
S1,1375.745,226.09,109,0.0,-10
S1,1376.04,226.09,109,0.0,-10
S1,1376.04,226.09,106,0.0,-10
S1,1376.265,226.09,106,0.0,-10
S1,1425.895,226.09,106,0.0,-10
S1,1425.98,5.38,106,0.0,-127
S1,1425.68,5.38,106,0.0,-10
S1,1425.97,2.53,270,0.0,-62
S1,1425.705,5.38,106,0.0,-12
S1,1376.175,226.18,106,0.0,-10
S1,1425.68,6.7,106,0.0,-10
S1,1426.32,230.98,106,0.0,-10
S1,1376.135,230.98,106,0.0,-10
S1,1376.175,230.98,106,0.0,-10
S1,1376.175,230.98,108,0.0,-10
S1,1376.08,230.98,108,0.0,-10
S1,1426.03,230.98,108,0.0,-10
S1,1376.33,230.98,108,0.0,-10
S1,1425.94,7.75,108,0.0,-127
S1,1425.94,7.75,105,0.0,-127
