Name,Frequency,Amplitude,PulseWidth,AOA
S1,1426.145,-12,235.96,108
S1,1376.08,-12,227.23,108
S1,1376.08,-12,227.23,105
S1,1376.295,-12,240.64,105
S1,1376.295,-12,240.64,107
S1,1376.175,-22,230.62,107
S1,1425.94,-22,1.57,107
S1,1425.94,-22,1.57,104
S1,1425.94,-22,1.57,106
S1,1376.125,-38,235.93,106
S1,1425.95,-34,4.75,106
S1,1376.265,-34,308.65,106
S1,1376.265,-34,308.65,106
S1,1426.145,-34,272.68,106
S1,1426.145,-34,272.68,103
S1,1426.145,-34,272.68,103
S1,1426.145,-34,272.68,97
S1,1426.145,-34,272.68,92
S1,1426.145,-34,272.68,87
S1,1426.145,-34,272.68,87
S1,1426.145,-34,272.68,81
S1,1426.145,-34,272.68,75
S1,1376.195,-34,225.97,75
S1,1376.195,-34,225.97,68
S1,1376.195,-34,225.97,61
S1,1376.195,-34,225.97,54
S1,1376.195,-34,225.97,47
S1,1426.195,-34,236.35,47
S1,1426.195,-34,236.35,41
S1,1426.195,-34,236.35,36
S1,1426.195,-34,236.35,31
S1,1426.195,-34,236.35,27
S1,1426.195,-34,236.35,24
S1,1426.195,-34,236.35,21
S1,1425.775,-44,7.24,21
S1,1425.775,-44,7.24,18
S1,1375.92,-41,20.2,262
S1,1425.775,-35,7.24,18
S1,1425.775,-35,7.24,18
S1,1425.885,-30,16.42,18
S1,1376.245,-30,236.2,18
S1,1375.92,-41,20.2,262
S1,1425.855,-30,236.2,18
S1,1376.295,-28,236.2,18
S1,1426.1,-28,10.9,18
S1,1376.01,-28,232.48,18
S1,1376.08,-28,232.48,20
S1,1426.82,-28,232.48,20
S1,1426.82,-28,232.48,20
S1,1425.92,-30,232.48,20
S1,1425.95,-29,4.27,20
S1,1425.95,-29,4.27,22
S1,1425.95,-29,4.27,22
S1,1425.95,-29,4.27,22
S1,1425.95,-29,4.27,22
S1,1425.725,-127,4.27,22
S1,1425.725,-127,4.27,22
S1,1425.835,-127,4.27,22
S1,1425.835,-127,4.27,22
S1,1425.835,-34,4.27,22
S1,1425.835,-34,4.27,22
S1,1425.835,-34,4.27,22
S1,1425.835,-79,4.27,22
S1,1425.835,-79,4.27,22
S1,1425.95,-79,4.27,22
S1,1425.95,-79,4.27,24
S1,1425.95,-66,4.27,24
S1,1425.95,-66,4.27,24
S1,1376.04,-11,226.18,162
S1,1425.95,-72,4.27,24
S1,1425.95,-72,4.27,24
S1,1425.95,-58,4.27,24
S1,1425.96,-11,226.18,162
S1,1425.95,-58,4.27,24
S1,1426.135,-58,4.27,24
S1,1425.97,-58,4.27,26
S1,1425.96,-11,226.18,164
S1,1425.97,-58,4.27,28
S1,1425.96,-11,226.18,167
S1,1425.97,-58,4.27,30
S1,1425.96,-46,226.18,167
S1,1425.96,-46,226.18,169
S1,1425.97,-58,4.27,33
S1,1425.96,-46,226.18,171
S1,1425.96,-46,226.18,171
S1,1425.97,-58,4.27,35
S1,1425.96,-46,226.18,173
S1,1425.96,-46,226.18,175
S1,1425.97,-58,4.27,311
S1,1425.96,-46,226.18,172
S1,1425.96,-46,226.18,167
S1,1426.04,-58,8.32,167
S1,1426.04,-58,8.32,163
S1,1426.04,-58,8.32,157
S1,1426.04,-56,8.32,149
S1,1426.04,-56,8.32,141
S1,1426.04,-56,8.32,141
S1,1426.04,-56,8.32,131
S1,1426.04,-56,8.32,121
S1,1426.04,-56,8.32,110
S1,1426.04,-56,8.32,98
S1,1426.04,-56,8.32,86
S1,1426.04,-56,8.32,74
S1,1426.04,-56,8.32,62
S1,1426.04,-56,8.32,50
S1,1426.04,-56,8.32,39
S1,1426.04,-56,8.32,28
S1,1426.04,-56,8.32,17
S1,1426.04,-56,8.32,8
S1,1426.04,-56,8.32,140
S1,1426.125,-38,225.85,352
S1,1426.125,-37,225.85,352
S1,1425.895,-37,4.24,352
F,4331.34,-127,1.57,0
F,4331.34,-127,1.57,8
F,4331.34,-42,1.57,8
F,4331.34,-42,1.57,5
S1,1426.08,-12,226.12,352
F,4331.35,-42,1.57,1
S1,1425.95,-12,6.76,352
F,4330.865,-42,1.57,1
F,4330.865,-42,1.57,4
F,4331.35,-41,1.57,4
S1,1425.97,-78,6.76,352
S1,1425.9,-12,6.76,352
F,4331.35,-41,1.57,4
F,4331.34,-41,1.57,6
F,4331.46,-40,1.57,3
F,4331.45,-35,1.57,3
F,4331.45,-35,1.57,3
S1,1426.02,-10,226.12,352
S1,1375.96,-10,4.45,352
F,4331.245,-35,1.57,5
F,4331.245,-35,1.57,7
F,4331.245,-35,1.57,9
S1,1425.92,-127,4.45,352
S1,1425.92,-10,4.45,352
S1,1425.59,-10,4.45,349
F,4331.4,-35,1.57,6
F,4331.4,-35,1.57,6
S1,1426.02,-10,226.12,349
S1,1425.53,-10,4.45,349
S1,1425.91,-61,4.45,349
S1,1425.91,-61,4.45,349
F,4332.525,-34,1.57,6
F,4332.525,-34,1.57,6
F,4331.51,-26,1.57,6
F,4331.51,-26,1.57,6
F,4331.51,-26,1.57,6
F,4331.51,-26,1.57,3
F,4331.615,-26,1.57,3
S1,1425.98,-10,226.09,349
S1,1425.98,-10,4.27,349
F,4331.615,-26,1.57,0
S1,1425.91,-10,4.27,349
S1,1426.245,-10,226.3,349
F,4331.93,-26,1.57,0
S1,1426.06,-10,226.3,349
F,4331.93,-26,1.57,355
F,4331.115,-26,1.57,351
F,4331.45,-26,1.57,353
F,4331.45,-26,1.57,355
F,4331.45,-26,1.57,355
S1,1426.06,-13,226.3,349
S1,1425.94,-13,4.33,349
F,4331.45,-26,1.57,358
S1,1425.94,-13,4.33,351
F,4331.45,-26,1.57,0
S1,1426.04,-13,226.09,351
S1,1425.91,-13,4.75,351
S1,1425.835,-13,4.75,348
F,4331.555,-29,1.57,356
S1,1425.63,-11,4.75,348
